Assets

Real Materials Vol. 0						Lex4Art
Unity SteamVR Plugin						Valve Corporation
Snaps Art HD - Construction Site				Unity Asset Store Originals
Snaps Art HD - Buried Memories Volume 2: Serekh 		Unity Asset Store Originals
Unity Measured Materials Library				Unity Technologies
Luxury Living Room Furniture Set 				lowercase Studios
Large Chandelier for Corona					lowercase Studios 
Yughues Free Ground Materials					Nobiax / Yughues



Paintings

The Dogana and Santa Maria della Salute, Venice			Joseph Mallord William Turner
Two McLaughlin Pears						Jeremiah Pearson Hardy
Boats on a Beach, Etretat					Gustave Courbet
Ships in a Gale							Willem van de Velde the Younger
